State,District,Block,Habitation Name,Habitation ID,Facility Name,Address,File Upload Date,Facility Category,Facility Subcategory,Lattitude,Longitude
Tripura,Sepahijala,Charilam,LALSHING MURA - 1,1387209,veterinary Center,Lalsingmura Charilam Block sepahijala,29:00.8,Medical ,Veterinary Hospital,23.62992059,91.26980916
Tripura,Sepahijala,Charilam,LALSHING MURA - 1,1387209,Lalsingmura Gram Panchayat,"Lalsingmura Bazaar, Charilam RD block, Sepahijala",12:59.6,Transport/Admin,Panchayat Headquarter,23.63262594,91.26480981
Tripura,Sepahijala,Charilam,LALSHING MURA - 1,1387209,TRIPURA GRAMIN BANK,"Lalsingmura Bazaar, Charilam block, sepahijala, Tripura",12:20.8,Transport/Admin,Bank,23.63248477,91.26297929
Tripura,Sepahijala,Charilam,LALSHING MURA - 1,1387209,Lalsingmura class XII School,"Lalsingmura, Charilam RD block, Sepahijala",28:33.4,Education ,Higher Secondary School,23.63136079,91.26603932
Tripura,Sepahijala,Charilam,LALSHING MURA - 1,1387209,Lalsingmura Bazaar,"Lalsingmura bazaar, Charilam RD block, Sepahijala",41:56.9,Agro ,Mandi (Notified),23.63258368,91.26326172
Tripura,Sepahijala,Boxanagar,Madhya Araliapara,1387256,Aralia Gram Panchayat,"Sonamura, Sepahijala Tripura",08:24.6,Transport/Admin,Panchayat Headquarter,23.4936784,91.26100867
Tripura,Sepahijala,Bishalghar,NO.2 BSF GATE WEST PART,1387591,BISHALGARH ENGLISH MEDIUM HIGHER SECONDARY SCHOOL,NH 44 Laxmibil Bishalghar Sepahijala Tripura,33:32.5,Education ,Higher Secondary School,23.69682397,91.26898438
Tripura,Khowai,Khowai,KSHUDIRAM PALLI,1388059,GARKI COLONY HIGHER SECONDARY SCHOOL,Purba Ganki Khowai Tripura,27:23.8,Education ,Higher Secondary School,24.05588243,91.63633221
Tripura,Sepahijala,Mohanbhog,MADHYA PARA,1388127,MS Ishita Petroleum Agency,"Madhya Para, Mohanbhog",59:28.7,Transport/Admin,Fuel Station,23.4842872,91.3985539
Tripura,Sepahijala,Mohanbhog,MADHYA PARA,1388127,Madhya Para Market,Madhya Para Mohanbhog Sepahijala Tripura,16:34.4,Agro ,Mandi (Notified),23.4777178,91.32579078
Tripura,Sepahijala,Mohanbhog,URMAI PURBA PARA,1388145,URMAI CLASSXII SCHOOL,Urmai Mohanbhog Sepahijala Tripura,17:48.2,Education ,Higher Secondary School,23.46242876,91.31279243
Tripura,Sepahijala,Mohanbhog,URMAI PURBA PARA,1388145,URMAI ASAD ALI MARKET ,"URMAI ,SONAMURA",59:57.4,Agro ,Mandi (Notified),23.46156336,91.31466602
Tripura,Khowai,Khowai,MADHYA BHUMIHIN COLONY,1388195,PURBA SONATALA MARKET SHED,Purba Sonatala Khowai Tripura,37:04.4,Agro ,Mandi (Notified),24.03732396,91.62612374
Tripura,Sepahijala,Kathalia,Dakshin Microsa,1388595,Microsapara PHC,Jagatrampur Kathalia Tripura,01:03.0,Medical ,Primary Health Centre,23.38311,91.40712833
Tripura,South Tripura,Satchand,Prem ch para,866096,Taikumba ADC Village,Taikumba Sabroom South Tripura,15:21.0,Transport/Admin,Panchayat Headquarter,23.14458507,91.64361414
Tripura,Khowai,Kalyanpur,KALYANPUR WEST,1389178,Kalyanpur Primary Health Center,Madhya Kalyanpur Khowai Tripura,07:26.5,Medical ,Primary Health Centre,23.93219207,91.60989836
Tripura,Khowai,Kalyanpur,TOTABARI,1389314,Jatri bisharamagar,At ghilatali ghat,14:44.8,Transport/Admin,Bus Stand,23.91154957,91.61946255
Tripura,Khowai,Kalyanpur,TOTABARI,1389314,Tota Bari Bazar,Purba Kalyanpur GP Kalyanpur Khowai Tripura,22:14.7,Agro ,Mandi (Notified),23.90612333,91.61990333
Tripura,Khowai,Padmabil,DHUPCHARA BARI,1390399,Rasarajnagar VC,"dhupchara, padmabil",33:55.0,Transport/Admin,Panchayat Headquarter,24.01110528,91.60557289
Tripura,Sepahijala,Nalchar,LANGTA DARGA,1338265,MELAGHAR HIGHER SECONDARY SCHOOL,Nalchar Sepahijala Tripura,24:15.0,Education ,Higher Secondary School,23.49681616,91.33027375
Tripura,Sepahijala,Nalchar,MANASHA PARA,1338316,KUMARIA KUCHA HIGH SCHOOL,Choumohani Tripura,04:36.8,Education ,High School - General,23.55781847,91.32652662
Tripura,West Tripura,Old Agartala,DURGA CHOWDHURY EAST PART,1338414,Radhakrishore Nagar Veterinary hospital,Radhakrishore Nagar,31:10.4,Medical ,Veterinary Hospital,23.8636447,91.3398433
Tripura,West Tripura,Bamutia,PARESH COLONY,1338765,BHAGALPUR GP,BAMUTIA BLOCK,11:45.6,Transport/Admin,Panchayat Headquarter,23.91908988,91.24842436
Tripura,West Tripura,Bamutia,NABAGRAM,1338835,NAVAGRAM HIGHER SECONDARY SCHOOL,BAMUTIA BLOCK,07:11.3,Education ,Higher Secondary School,23.89592583,91.2640665
Tripura,Unakoti,Chandipur,Kaluacherra,1338986,Birchandranagar GP Headquarter,Birchandranagar,07:24.7,Transport/Admin,Panchayat Headquarter,24.27139294,92.01172076
Tripura,South Tripura,Jolaibari,Kusharghat,1351920,UCHAIBARI HIGH SCHOOL,"Baikhora Muhuripur Rd
Paschim Charakbai Tripura",29:01.2,Education ,High School - General,23.25046396,91.55607282
Tripura,South Tripura,Jolaibari,Thakur Para,1351969,Thakur Para Bazar,Jolaibari South Tripura,51:13.8,Agro ,Mandi (Notified),23.21342917,91.5844886
Tripura,Dhalai,Ganganagar,Brikshada-5,1386163,Mandi,Brikshada Para,54:50.2,Agro ,Mandi (Notified),23.79951167,91.86701833
Tripura,Dhalai,Durga Chowmuhani,West Manik Bhander,1386214,Manik Bhander Village Panchayat,Manik Bhander kamalpur,40:18.2,Transport/Admin,Panchayat Headquarter,24.150865,91.80887167
Tripura,North Tripura,Kalachara,Gobindapur W-5,1386916,Gobindapur Gram Panchayet office,Gobindapur Kalacherra,15:45.6,Transport/Admin,Panchayat Headquarter,24.39954069,92.2076828
Tripura,North Tripura,Jubarajnagar,East Batarasi,1387065,BATARASI HIGH SCHOOL,East Batarashi Rd Near FCI Kameswar Tripura,01:23.4,Education ,High School - General,24.36436975,92.18537885
Tripura,Sepahijala,Charilam,SARAT CHOUDHURY PARA,1387235,Rangmala High School,Rangmala Charilam RD block,23:57.1,Education ,High School - General,23.5920338,91.29743124
Tripura,Sepahijala,Charilam,SARAT CHOUDHURY PARA,1387235,Rangmala Bazaar,Rangmala Charilam RD block Sepahijala,13:11.7,Agro ,Mandi (Notified),23.59349142,91.29794942
Tripura,Sepahijala,Charilam,SARAT CHOUDHURY PARA,1387235,Rubber Processing Centre,Herma SGRPC near Rangmala High School Charilam,22:55.9,Agro ,Agro Industry,23.58958457,91.30297542
Tripura,Khowai,Khowai,BHIMER TILLA,1387716,Allahabad Bank,Paschim Chebri Khowai Tripura,35:55.7,Transport/Admin,Bank,24.01246703,91.62090802
Tripura,Khowai,Khowai,SHIBBARI PARA,1387735,SINGHICHHARA NO2 HIGH SCHOOL,Madhya Singhicherra Khowai Tripura,09:19.1,Education ,High School - General,24.07951257,91.61813612
Tripura,Khowai,Khowai,SHIBBARI PARA,1387735,KHOWAI GOVERNMENT GIRLS SCHOOL,Dakshin Singhicherra Khowai Tripura,05:10.4,Education ,High School - Girls,24.07966612,91.59785712
Tripura,Khowai,Khowai,UTTAR TABLABARI PARA,1387935,Seed and fertilizer center,Madhya ganki,04:36.8,Agro ,Collection Centre or Pack House,24.04862114,91.62641837
Tripura,Sepahijala,Mohanbhog,GAMAICHERRA,1388086,Gamaicherra Small Market,Dakshin Taibandal Mohanbhog Sepahijala Tripura,09:08.9,Agro ,Mandi (Notified),23.39458689,91.37682457
Tripura,Sepahijala,Mohanbhog,SC COLONY PARA,1388137,TELKAJLA HIGHER SECONDARY SCHOOL,Telkajla Sonamura Sepahijala,23:36.4,Education ,Higher Secondary School,23.47545839,91.32588051
